"country","area","pop","lifeExp","gdpPercap"
北海道,北海道,264,68.6,5286
青森県,東北,22,135.6,1263
岩手県,東北,0,83.8,1241
宮城県,東北,51,320.5,2316
秋田県,東北,15,87.9,981
山形県,東北,38,120.5,1090
福島県,東北,38,138.9,1864
茨城県,関東,109,478.4,2877
栃木県,関東,35,308.1,1946
群馬県,関東,90,310.1,1952
埼玉県,関東,415,1913.4,7330
千葉県,関東,467,1206.5,6255
東京都,関東,2068,6168.7,13822
神奈川県,関東,545,3777.7,9177
新潟県,中部,42,183.1,2246
富山県,中部,44,251.0,1050
石川県,中部,113,275.7,1143
福井県,中部,88,187.7,774
山梨県,中部,35,187.0,817
長野県,中部,29,154.8,2063
岐阜県,中部,112,191.3,1997
静岡県,中部,41,475.8,3659
愛知県,中部,326,1446.7,7537
三重県,中部,17,314.5,1791
滋賀県,近畿,38,351.7,1412
京都府,近畿,193,566.0,2591
大阪府,近畿,811,4639.8,8813
兵庫県,近畿,375,658.8,5484
奈良県,近畿,41,369.6,1339
和歌山県,近畿,39,203.9,935
鳥取県,中国,1,163.5,560
島根県,中国,7,103.5,680
岡山県,中国,15,270.1,1898
広島県,中国,62,335.4,2817
山口県,中国,23,229.8,1370
徳島県,四国,3,182.3,736
香川県,四国,8,520.2,962
愛媛県,四国,30,244.1,1352
高知県,四国,60,102.5,706
福岡県,九州,362,1023.1,5107
佐賀県,九州,13,341.2,819
長崎県,九州,14,333.3,1341
熊本県,九州,27,241.1,1757
大分県,九州,42,183.9,1144
宮崎県,九州,17,142.7,1081
鹿児島県,九州,4,179.4,1614
沖縄県,九州,65,628.4,1448
